Project_ID,Project_Type,Location,Area_Impacted,Air_Emissions,Water_Pollution,Habitat_Loss,Carbon_Footprint,Mitigation_Plan,Impact_Score,Budget,Duration,Stakeholders,Public_Acceptance,Sustainability_Practices
Project_24115,Construction,City_C,91.39,878.95,75.14,9.39,7955.56,Not Applicable,70.12,4251033,34,"['Private Sector', 'Private Sector', 'Environmental Organization']",Low,"['Renewable Energy', 'Waste Management']"
Project_87600,Construction,City_D,91,651.83,68.45,4.54,7998.61,Planned,12.94,5313393,39,"['Government', 'Private Sector', 'Local Community']",Medium,"['Energy Efficiency', 'Green Infrastructure']"
Project_23938,Construction,City_E,97.31,874.04,98.71,7.94,8815.81,Implemented,85.15,9179344,58,"['Private Sector', 'Environmental Organization', 'Government']",High,"['Renewable Energy', 'Energy Efficiency']"
Project_71280,Construction,City_D,69.13,786.88,90.24,5.69,8543,Not Applicable,95.31,7220727,16,"['Private Sector', 'Local Community', 'Local Community']",Medium,"['Waste Management', 'Waste Management']"
Project_23742,Construction,City_B,61.44,628.74,65.42,5.2,8088.23,Not Applicable,20.05,6709011,56,"['Government', 'Government', 'Private Sector']",Low,"['Energy Efficiency', 'Renewable Energy']"
Project_23737,Construction,City_C,96.43,727.29,92.34,5.09,8559.04,Planned,33.92,5642584,18,"['Government', 'Government', 'Local Community']",Medium,"['Renewable Energy', 'Renewable Energy']"
Project_23501,Construction,City_C,98.77,746.66,69.8,6.62,8641.36,Implemented,73.48,3790000,23,"['Government', 'Environmental Organization', 'Local Community']",Medium,"['Green Infrastructure', 'Renewable Energy']"
Project_23179,Construction,City_D,55.94,989.11,43.41,7.82,8571.96,Implemented,82.14,3413811,37,"['Local Community', 'Private Sector', 'Government']",High,"['Green Infrastructure', 'Energy Efficiency']"
Project_23162,Construction,City_C,80.84,848.94,73.24,6.09,7943.91,Implemented,50.83,2677568,18,"['Local Community', 'Local Community', 'Government']",Low,"['Waste Management', 'Waste Management']"
Project_23127,Construction,City_D,73.33,996.65,87.19,5.75,8602.6,Not Applicable,73.43,8792089,10,"['Local Community', 'Government', 'Government']",Low,"['Renewable Energy', 'Green Infrastructure']"
Project_87904,Construction,City_C,88.17,627.01,41.07,6.69,8515.95,Implemented,73.66,5678718,53,"['Local Community', 'Environmental Organization', 'Private Sector']",Medium,"['Renewable Energy', 'Energy Efficiency']"
Project_23020,Construction,City_C,95.28,504.29,89.45,4.8,7792.78,Not Applicable,59.82,6358531,25,"['Local Community', 'Government', 'Local Community']",High,"['Green Infrastructure', 'Energy Efficiency']"
Project_71276,Construction,City_E,69.14,827.13,98.22,4.56,8171.27,Not Applicable,10.98,4288149,49,"['Private Sector', 'Private Sector', 'Private Sector']",Medium,"['Energy Efficiency', 'Renewable Energy']"
Project_22809,Construction,City_D,77,735.61,56.18,4.18,8095.14,Implemented,53.81,6325368,53,"['Government', 'Local Community', 'Private Sector']",Low,"['Energy Efficiency', 'Renewable Energy']"
Project_87205,Construction,City_B,79.04,957.88,73.24,9.44,8884.09,Implemented,16.02,1191140,38,"['Local Community', 'Local Community', 'Environmental Organization']",Medium,"['Waste Management', 'Waste Management']"
Project_22797,Construction,City_B,51.93,688.46,54.24,7.65,8666.69,Planned,20.19,9804320,51,"['Private Sector', 'Local Community', 'Environmental Organization']",High,"['Waste Management', 'Renewable Energy']"
Project_86922,Construction,City_A,87.6,743.29,70.27,4.24,8654.17,Not Applicable,50.19,4688850,37,"['Government', 'Local Community', 'Government']",Medium,"['Waste Management', 'Energy Efficiency']"
Project_71753,Construction,City_C,72,927.31,56.52,8.51,8523.37,Implemented,15.03,7088085,31,"['Government', 'Private Sector', 'Local Community']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_28503,Construction,City_A,73.35,669.66,58.85,7.34,8092.74,Planned,52.05,5902825,18,"['Environmental Organization', 'Private Sector', 'Government']",Medium,"['Renewable Energy', 'Waste Management']"
Project_28364,Construction,City_D,71.69,529.71,66.11,7.5,8653.72,Planned,53.85,5000058,59,"['Environmental Organization', 'Environmental Organization', 'Environmental Organization']",Medium,"['Waste Management', 'Green Infrastructure']"
Project_28296,Construction,City_B,89.74,655.68,55.08,4.66,7797.8,Not Applicable,71.61,8674874,7,"['Local Community', 'Private Sector', 'Private Sector']",Medium,"['Renewable Energy', 'Waste Management']"
Project_28005,Construction,City_B,66.4,790.46,91.73,4.53,8619.53,Planned,51.85,3289317,24,"['Government', 'Private Sector', 'Local Community']",Medium,"['Waste Management', 'Waste Management']"
Project_52481,Construction,City_A,78.49,963.46,78.67,6.77,7854.07,Planned,60.15,4212206,26,"['Environmental Organization', 'Private Sector', 'Local Community']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_52650,Construction,City_A,67.9,919.3,44.15,8.68,8431.18,Not Applicable,79.14,2745915,57,"['Government', 'Environmental Organization', 'Private Sector']",High,"['Energy Efficiency', 'Green Infrastructure']"
Project_85401,Construction,City_C,53.85,824.04,44.09,9.25,7933.9,Implemented,59.28,5616042,33,"['Private Sector', 'Local Community', 'Private Sector']",Medium,"['Renewable Energy', 'Renewable Energy']"
Project_27791,Construction,City_E,58.61,744.49,82.79,6.94,8325.51,Implemented,41.1,6903133,52,"['Local Community', 'Local Community', 'Government']",Medium,"['Waste Management', 'Energy Efficiency']"
Project_27555,Construction,City_A,78.54,710.58,89.13,9.43,8683.74,Not Applicable,89.62,3733844,9,"['Environmental Organization', 'Government', 'Government']",High,"['Waste Management', 'Waste Management']"
Project_27091,Construction,City_A,90.65,534.46,63.71,4.1,8740.77,Planned,44.02,5121301,9,"['Local Community', 'Local Community', 'Environmental Organization']",High,"['Waste Management', 'Green Infrastructure']"
Project_52771,Construction,City_C,52.2,976.72,87.79,6.18,8301.81,Not Applicable,90.8,9923142,51,"['Government', 'Local Community', 'Local Community']",High,"['Green Infrastructure', 'Renewable Energy']"
Project_26830,Construction,City_A,62.15,885.98,92.03,8.77,8070.51,Planned,85.1,576531,27,"['Environmental Organization', 'Private Sector', 'Government']",Low,"['Renewable Energy', 'Energy Efficiency']"
Project_26781,Construction,City_C,73.25,755.16,64.56,4.12,8792.36,Planned,60.95,4165311,45,"['Government', 'Government', 'Government']",Low,"['Waste Management', 'Green Infrastructure']"
Project_26770,Construction,City_E,54.53,946.24,53.64,7.23,8179.61,Not Applicable,11.38,1889371,46,"['Local Community', 'Environmental Organization', 'Environmental Organization']",Medium,"['Waste Management', 'Waste Management']"
Project_85580,Construction,City_A,97.52,735.87,88.03,4,8394.06,Implemented,96.37,4365426,6,"['Private Sector', 'Private Sector', 'Private Sector']",Medium,"['Renewable Energy', 'Renewable Energy']"
Project_52773,Construction,City_D,70.79,788.91,91.02,9.31,7911.84,Planned,24.23,3077070,53,"['Government', 'Environmental Organization', 'Environmental Organization']",Medium,"['Waste Management', 'Waste Management']"
Project_52956,Construction,City_E,51.75,666.81,45.55,6.59,7791.85,Not Applicable,80.12,469590,45,"['Government', 'Environmental Organization', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Green Infrastructure']"
Project_85947,Construction,City_A,61.06,954.93,72.43,9.38,8678.47,Planned,50.94,5288724,50,"['Local Community', 'Private Sector', 'Local Community']",Low,"['Renewable Energy', 'Waste Management']"
Project_52957,Construction,City_A,81.53,536.8,57.68,5.58,7778.33,Implemented,4.74,4417589,60,"['Environmental Organization', 'Government', 'Private Sector']",Medium,"['Renewable Energy', 'Waste Management']"
Project_25880,Construction,City_B,83.55,810.39,50.41,9.16,8385.52,Planned,97.59,4678694,21,"['Government', 'Government', 'Private Sector']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_86163,Construction,City_D,54.25,907.68,79.9,6.65,8445,Planned,50.89,936753,47,"['Private Sector', 'Environmental Organization', 'Private Sector']",Low,"['Waste Management', 'Green Infrastructure']"
Project_25638,Construction,City_C,57.47,682.48,90.65,4.31,8231.66,Not Applicable,29.16,934740,56,"['Private Sector', 'Government', 'Local Community']",Medium,"['Renewable Energy', 'Renewable Energy']"
Project_86250,Construction,City_D,60.18,789.71,68.47,5.56,8578.21,Implemented,87.9,1285546,6,"['Local Community', 'Government', 'Environmental Organization']",Low,"['Waste Management', 'Green Infrastructure']"
Project_53377,Construction,City_E,87.07,526.78,99.52,4.31,8847.46,Implemented,91.48,4709390,40,"['Environmental Organization', 'Government', 'Government']",Low,"['Energy Efficiency', 'Waste Management']"
Project_22448,Construction,City_B,87.28,713.17,74.44,9.27,8578.26,Planned,93.45,2139341,24,"['Environmental Organization', 'Environmental Organization', 'Government']",Medium,"['Energy Efficiency', 'Waste Management']"
Project_22316,Construction,City_A,69.5,515.76,51.08,9.04,8866.08,Planned,74.65,4560821,50,"['Government', 'Government', 'Government']",High,"['Waste Management', 'Energy Efficiency']"
Project_22064,Construction,City_E,66.96,787.51,86.02,9.9,8063.51,Implemented,19.02,1903024,33,"['Local Community', 'Local Community', 'Environmental Organization']",High,"['Waste Management', 'Energy Efficiency']"
Project_56926,Construction,City_C,52.71,825.71,91.29,5.11,7991.45,Planned,41.2,3960340,34,"['Government', 'Private Sector', 'Private Sector']",High,"['Waste Management', 'Green Infrastructure']"
Project_17494,Construction,City_A,62.54,560.47,74.68,6.58,8399.74,Planned,45.96,424452,15,"['Government', 'Environmental Organization', 'Private Sector']",Low,"['Waste Management', 'Renewable Energy']"
Project_17489,Construction,City_C,78.45,661.98,90.91,8.57,8551.69,Not Applicable,91.39,5600167,46,"['Environmental Organization', 'Environmental Organization', 'Local Community']",Medium,"['Green Infrastructure', 'Energy Efficiency']"
Project_17292,Construction,City_C,53.8,782.88,68.28,4.86,8149.59,Planned,93.31,8372984,34,"['Environmental Organization', 'Private Sector', 'Private Sector']",Low,"['Green Infrastructure', 'Waste Management']"
Project_57092,Construction,City_E,97.91,525.28,93.35,5.33,8471.7,Planned,54.8,6079823,25,"['Private Sector', 'Private Sector', 'Private Sector']",Low,"['Energy Efficiency', 'Waste Management']"
Project_17110,Construction,City_A,93.52,979.28,50.9,6.51,8917.27,Not Applicable,88.08,9196665,33,"['Environmental Organization', 'Environmental Organization', 'Environmental Organization']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_91180,Construction,City_E,67.8,738.1,92.33,6.8,8534.43,Implemented,54.58,5022928,22,"['Government', 'Private Sector', 'Government']",Medium,"['Green Infrastructure', 'Green Infrastructure']"
Project_16557,Construction,City_A,95.33,651.84,53.02,9.32,8426.23,Planned,68.77,1393196,23,"['Private Sector', 'Environmental Organization', 'Environmental Organization']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_16290,Construction,City_C,72.43,635.47,76.01,6.24,8655.81,Implemented,84.24,2465598,8,"['Private Sector', 'Private Sector', 'Private Sector']",Medium,"['Green Infrastructure', 'Green Infrastructure']"
Project_91460,Construction,City_C,50.34,768.84,71.8,6.75,7851.19,Planned,68,726190,45,"['Local Community', 'Private Sector', 'Local Community']",Medium,"['Waste Management', 'Energy Efficiency']"
Project_58195,Construction,City_C,91.83,689.13,83,9.99,8589.03,Planned,79.95,8980779,26,"['Local Community', 'Local Community', 'Government']",Medium,"['Energy Efficiency', 'Waste Management']"
Project_91616,Construction,City_E,72.3,863.95,89.87,6.95,8626.9,Implemented,8.54,7520100,18,"['Government', 'Private Sector', 'Environmental Organization']",High,"['Waste Management', 'Waste Management']"
Project_15626,Construction,City_D,66.88,633.05,93.53,4.87,8736.75,Implemented,83.19,700641,11,"['Local Community', 'Private Sector', 'Local Community']",High,"['Renewable Energy', 'Waste Management']"
Project_91683,Construction,City_E,66.02,790.29,56.57,7.5,8412.21,Planned,74.09,6812641,30,"['Government', 'Government', 'Government']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_58441,Construction,City_E,62.32,526.65,46.43,6.09,8431.71,Implemented,16.33,245443,36,"['Government', 'Environmental Organization', 'Local Community']",Low,"['Green Infrastructure', 'Waste Management']"
Project_15174,Construction,City_A,99.87,989.18,96.95,5.97,8353.19,Not Applicable,39.29,4970688,45,"['Environmental Organization', 'Environmental Organization', 'Environmental Organization']",Low,"['Waste Management', 'Energy Efficiency']"
Project_14868,Construction,City_E,53.54,512.71,88.15,9.96,8099.63,Planned,87.02,9914264,17,"['Local Community', 'Environmental Organization', 'Environmental Organization']",Low,"['Waste Management', 'Renewable Energy']"
Project_92177,Construction,City_D,99.75,741.77,86.27,9.2,8196.28,Not Applicable,67.63,6250597,19,"['Private Sector', 'Local Community', 'Government']",Medium,"['Renewable Energy', 'Waste Management']"
Project_14714,Construction,City_B,77.81,936.77,89.54,6.2,8767.93,Implemented,7.79,1014820,32,"['Environmental Organization', 'Environmental Organization', 'Local Community']",Medium,"['Waste Management', 'Energy Efficiency']"
Project_14595,Construction,City_E,50.35,811.59,84.42,7.38,8620.58,Planned,89.49,1809959,18,"['Environmental Organization', 'Government', 'Private Sector']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_14178,Construction,City_C,70.38,770.98,78.65,8.03,7993.57,Not Applicable,15.49,8680956,59,"['Government', 'Government', 'Environmental Organization']",Low,"['Renewable Energy', 'Green Infrastructure']"
Project_14029,Construction,City_D,69.72,915.48,52.84,7.8,8797.34,Implemented,32.1,4712363,8,"['Local Community', 'Government', 'Private Sector']",High,"['Green Infrastructure', 'Renewable Energy']"
Project_58718,Construction,City_A,60.15,553.67,96.87,8.11,8122.6,Implemented,78.12,9807141,13,"['Private Sector', 'Environmental Organization', 'Environmental Organization']",Medium,"['Waste Management', 'Renewable Energy']"
Project_90959,Construction,City_B,71.49,533.94,82.39,9.74,7981.18,Implemented,30.51,3411109,34,"['Government', 'Private Sector', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Waste Management']"
Project_56856,Construction,City_A,65.58,527.96,83.28,7,8383.06,Not Applicable,13.8,3451622,49,"['Government', 'Local Community', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Waste Management']"
Project_69732,Construction,City_A,84.61,947.85,81.97,6.44,8626.5,Planned,50.98,8760033,6,"['Government', 'Private Sector', 'Government']",High,"['Energy Efficiency', 'Waste Management']"
Project_18172,Construction,City_E,60.18,617.84,46.01,9.81,8720.6,Implemented,66.38,920587,52,"['Environmental Organization', 'Environmental Organization', 'Government']",High,"['Waste Management', 'Energy Efficiency']"
Project_70842,Construction,City_B,75.88,911.93,88,8.04,7803.15,Not Applicable,7.57,3365348,34,"['Private Sector', 'Government', 'Environmental Organization']",Low,"['Energy Efficiency', 'Renewable Energy']"
Project_21686,Construction,City_A,51.38,866.69,74.05,8.14,8316.06,Planned,86.81,3865791,22,"['Private Sector', 'Government', 'Private Sector']",High,"['Energy Efficiency', 'Green Infrastructure']"
Project_54958,Construction,City_C,63.06,878.99,48.55,9.56,7959.95,Not Applicable,18.74,2633073,33,"['Private Sector', 'Environmental Organization', 'Private Sector']",High,"['Green Infrastructure', 'Energy Efficiency']"
Project_55057,Construction,City_D,92.87,550.16,65.22,6.47,8356.89,Implemented,63.55,2186317,33,"['Government', 'Private Sector', 'Environmental Organization']",Low,"['Energy Efficiency', 'Waste Management']"
Project_21349,Construction,City_D,96.47,556.76,86.1,8.8,8846.24,Implemented,41.46,9829961,9,"['Government', 'Private Sector', 'Environmental Organization']",High,"['Green Infrastructure', 'Renewable Energy']"
Project_21323,Construction,City_D,87.68,962.45,77.45,8.72,7804.46,Not Applicable,38.07,3752797,53,"['Government', 'Government', 'Private Sector']",Low,"['Waste Management', 'Renewable Energy']"
Project_55440,Construction,City_E,92.42,796.76,46.2,9.96,8587.97,Implemented,26.94,3175362,22,"['Environmental Organization', 'Local Community', 'Government']",High,"['Waste Management', 'Renewable Energy']"
Project_55630,Construction,City_B,92.7,538.97,89.92,9.04,8311.63,Planned,16.12,4902026,40,"['Government', 'Environmental Organization', 'Government']",Low,"['Waste Management', 'Renewable Energy']"
Project_20904,Construction,City_D,88.74,974.5,69.56,7.92,7813.75,Not Applicable,96.87,6241959,7,"['Environmental Organization', 'Environmental Organization', 'Environmental Organization']",Low,"['Waste Management', 'Green Infrastructure']"
Project_55744,Construction,City_E,56.11,551.76,71.15,5.32,8921.01,Implemented,93.07,3660405,46,"['Government', 'Local Community', 'Private Sector']",High,"['Renewable Energy', 'Renewable Energy']"
Project_20278,Construction,City_D,93.34,976.73,89.62,6.68,8504.04,Implemented,71.5,2283935,16,"['Local Community', 'Environmental Organization', 'Local Community']",Low,"['Waste Management', 'Renewable Energy']"
Project_28523,Construction,City_C,94.92,639.35,43.66,5.82,8483.4,Planned,8.54,6421351,59,"['Local Community', 'Private Sector', 'Private Sector']",High,"['Green Infrastructure', 'Energy Efficiency']"
Project_19897,Construction,City_A,89.76,783.23,61.02,9.91,8637.21,Not Applicable,37.99,2959687,37,"['Private Sector', 'Private Sector', 'Local Community']",High,"['Renewable Energy', 'Waste Management']"
Project_89634,Construction,City_D,99.27,554.01,67.45,5.62,8214.65,Not Applicable,18.96,8215584,35,"['Government', 'Government', 'Local Community']",Low,"['Renewable Energy', 'Energy Efficiency']"
Project_19801,Construction,City_B,56.21,719.26,63.99,6.35,7786.53,Not Applicable,61.71,6610082,51,"['Government', 'Government', 'Environmental Organization']",Medium,"['Waste Management', 'Waste Management']"
Project_19451,Construction,City_E,60.81,923.09,93.67,8.87,8282.95,Planned,84.11,1572641,19,"['Private Sector', 'Government', 'Local Community']",Medium,"['Energy Efficiency', 'Waste Management']"
Project_69870,Construction,City_D,90.88,754.78,89.4,9.26,8045.88,Not Applicable,71.77,4273482,24,"['Environmental Organization', 'Local Community', 'Private Sector']",Low,"['Energy Efficiency', 'Energy Efficiency']"
Project_19298,Construction,City_C,65.67,929.78,51.63,5.2,8120.73,Planned,44.8,9206082,33,"['Government', 'Environmental Organization', 'Government']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_56458,Construction,City_B,70.6,929.52,40.03,5.54,8621.43,Implemented,96.25,6544785,55,"['Government', 'Government', 'Local Community']",High,"['Waste Management', 'Green Infrastructure']"
Project_19146,Construction,City_B,90.64,762.83,43.2,4.7,7847.47,Planned,91.27,5844171,18,"['Private Sector', 'Government', 'Government']",Medium,"['Green Infrastructure', 'Renewable Energy']"
Project_18894,Construction,City_B,50.02,666.63,70.51,6.96,8780.07,Implemented,92.71,7400899,7,"['Local Community', 'Government', 'Local Community']",High,"['Green Infrastructure', 'Green Infrastructure']"
Project_18848,Construction,City_D,73.77,655.7,76.64,8.99,8693.48,Not Applicable,68.51,2158259,7,"['Government', 'Private Sector', 'Environmental Organization']",High,"['Green Infrastructure', 'Renewable Energy']"
Project_18659,Construction,City_E,88.32,701.73,75.16,6.42,8753.14,Not Applicable,26.51,2030305,15,"['Environmental Organization', 'Private Sector', 'Environmental Organization']",Medium,"['Green Infrastructure', 'Waste Management']"
Project_90584,Construction,City_D,69.04,772.73,72.95,6.41,8450.19,Not Applicable,58.68,7905427,28,"['Local Community', 'Government', 'Government']",Medium,"['Waste Management', 'Waste Management']"
Project_19891,Construction,City_D,77.18,539.29,71.2,6.37,8605.34,Not Applicable,92.11,2595333,24,"['Local Community', 'Government', 'Government']",High,"['Waste Management', 'Energy Efficiency']"
Project_92518,Construction,City_D,86.86,876.06,56,4.68,7956.42,Planned,52.88,1009779,57,"['Government', 'Environmental Organization', 'Private Sector']",Medium,"['Energy Efficiency', 'Energy Efficiency']"
Project_84729,Construction,City_C,89.3,848.92,85.91,7.26,8116.49,Planned,41.68,9917123,58,"['Government', 'Environmental Organization', 'Government']",Low,"['Waste Management', 'Renewable Energy']"
Project_29147,Construction,City_B,58.9,693.32,96.21,8.76,8571.53,Planned,42.44,5942879,18,"['Environmental Organization', 'Local Community', 'Private Sector']",Medium,"['Renewable Energy', 'Green Infrastructure']"
Project_47321,Construction,City_D,50.69,558.61,62.37,8.89,8259.4,Not Applicable,87.68,9338998,16,"['Local Community', 'Private Sector', 'Government']",High,"['Green Infrastructure', 'Waste Management']"
Project_47342,Construction,City_B,64.56,593.79,77.35,5.92,8442.05,Planned,27.23,119895,17,"['Local Community', 'Private Sector', 'Private Sector']",Low,"['Renewable Energy', 'Waste Management']"
Project_39352,Construction,City_D,77.46,898.1,48.35,8.84,7933.54,Planned,88.36,4927086,22,"['Government', 'Local Community', 'Private Sector']",Medium,"['Green Infrastructure', 'Renewable Energy']"
Project_47988,Construction,City_C,57.83,777.26,85.66,6.41,8772.82,Implemented,50.94,182087,10,"['Private Sector', 'Government', 'Environmental Organization']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_48013,Construction,City_D,93.53,794.51,77.02,4.06,8005.14,Implemented,95.18,641492,38,"['Environmental Organization', 'Local Community', 'Private Sector']",Low,"['Waste Management', 'Green Infrastructure']"
Project_72738,Construction,City_A,63.42,659.76,81.09,9.2,8200.9,Not Applicable,13.49,6458128,43,"['Environmental Organization', 'Local Community', 'Government']",High,"['Waste Management', 'Energy Efficiency']"
Project_48132,Construction,City_B,75.1,675.31,92.1,6.46,8000.27,Not Applicable,93.98,9459812,11,"['Government', 'Private Sector', 'Government']",Medium,"['Energy Efficiency', 'Renewable Energy']"
Project_77901,Construction,City_A,98.53,901.38,86.97,5.09,8830.89,Not Applicable,11.27,1680998,31,"['Environmental Organization', 'Government', 'Local Community']",High,"['Energy Efficiency', 'Green Infrastructure']"
Project_48183,Construction,City_D,83.74,897.28,64.76,5.49,8047.46,Not Applicable,35.66,4255433,45,"['Local Community', 'Local Community', 'Private Sector']",Low,"['Energy Efficiency', 'Renewable Energy']"
Project_78035,Construction,City_A,57.39,869.29,45.58,6.6,8902.15,Planned,10.14,4126044,31,"['Private Sector', 'Environmental Organization', 'Environmental Organization']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_36693,Construction,City_E,62.09,811.92,47.24,5.47,7785.47,Not Applicable,95.88,7908593,52,"['Government', 'Private Sector', 'Government']",High,"['Energy Efficiency', 'Waste Management']"
Project_36625,Construction,City_E,77.72,520.47,80.49,8.06,8609.27,Planned,5.38,2819127,58,"['Government', 'Private Sector', 'Government']",High,"['Renewable Energy', 'Green Infrastructure']"
Project_48337,Construction,City_C,98.19,881.79,74.91,9.67,8865.14,Implemented,48.6,5293671,57,"['Government', 'Private Sector', 'Private Sector']",High,"['Waste Management', 'Renewable Energy']"
Project_36357,Construction,City_D,69.08,635.44,73.53,7.07,8474.46,Planned,19.88,4827330,12,"['Government', 'Government', 'Environmental Organization']",Low,"['Energy Efficiency', 'Renewable Energy']"
Project_78279,Construction,City_D,87.95,931.77,94.54,4.93,8147.06,Planned,79.59,4528578,47,"['Government', 'Environmental Organization', 'Private Sector']",High,"['Green Infrastructure', 'Renewable Energy']"
Project_36257,Construction,City_D,57.93,705.52,66.27,6.93,8860.54,Not Applicable,94.44,4503478,40,"['Private Sector', 'Government', 'Government']",High,"['Green Infrastructure', 'Energy Efficiency']"
Project_78284,Construction,City_B,91.4,562.8,94.24,4.74,8041.87,Implemented,2.64,2326581,42,"['Environmental Organization', 'Government', 'Local Community']",Medium,"['Energy Efficiency', 'Green Infrastructure']"
Project_36071,Construction,City_A,67.13,523.46,91.79,6.69,7973.51,Not Applicable,21.97,1008968,20,"['Government', 'Local Community', 'Local Community']",Medium,"['Energy Efficiency', 'Green Infrastructure']"
Project_78359,Construction,City_A,86.02,922.74,75.45,7.93,8349.68,Planned,25.98,3344956,28,"['Environmental Organization', 'Private Sector', 'Local Community']",High,"['Waste Management', 'Green Infrastructure']"
Project_78465,Construction,City_A,72.1,919.27,85.82,6.24,8609.25,Implemented,85.84,4978870,27,"['Government', 'Government', 'Local Community']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_35624,Construction,City_C,56.91,732.55,90.1,4.72,8289.08,Not Applicable,40.82,4042223,52,"['Environmental Organization', 'Private Sector', 'Private Sector']",High,"['Energy Efficiency', 'Renewable Energy']"
Project_78547,Construction,City_A,76.36,704.12,79.04,7.06,8614.19,Implemented,7.81,7949187,46,"['Local Community', 'Local Community', 'Local Community']",High,"['Energy Efficiency', 'Energy Efficiency']"
Project_35222,Construction,City_C,84.6,660.93,82.25,9.43,8198.54,Planned,44.37,4626619,40,"['Government', 'Government', 'Local Community']",Low,"['Renewable Energy', 'Renewable Energy']"
Project_47155,Construction,City_B,81.45,871.21,56.15,4.15,8762.99,Not Applicable,58.03,7622478,22,"['Local Community', 'Private Sector', 'Government']",High,"['Energy Efficiency', 'Green Infrastructure']"
Project_78844,Construction,City_A,77.85,585.1,75.48,9.02,7973.49,Implemented,8.71,3987333,10,"['Environmental Organization', 'Environmental Organization', 'Government']",Medium,"['Energy Efficiency', 'Green Infrastructure']"
Project_40073,Construction,City_D,72.95,789.2,57.98,8.35,8760.53,Planned,19.82,9690762,18,"['Environmental Organization', 'Private Sector', 'Local Community']",Low,"['Green Infrastructure', 'Waste Management']"
Project_76793,Construction,City_C,63.91,883.01,61.1,8.56,8775.2,Implemented,75.2,4741616,18,"['Local Community', 'Government', 'Government']",Low,"['Green Infrastructure', 'Energy Efficiency']"
Project_43473,Construction,City_D,95.92,611.07,88.94,9.25,8063.08,Planned,19.21,2121573,51,"['Environmental Organization', 'Private Sector', 'Environmental Organization']",High,"['Energy Efficiency', 'Renewable Energy']"
Project_74681,Construction,City_C,84.98,807.31,49.37,7.55,7839.63,Not Applicable,88.74,3973705,57,"['Private Sector', 'Government', 'Government']",Low,"['Green Infrastructure', 'Energy Efficiency']"
Project_75103,Construction,City_A,91.93,599.47,42.71,5.02,7930.46,Planned,69.76,6136613,21,"['Environmental Organization', 'Local Community', 'Private Sector']",Medium,"['Energy Efficiency', 'Green Infrastructure']"
Project_43090,Construction,City_B,90.61,681.14,87.75,6.97,8943.3,Not Applicable,25.7,2153951,41,"['Local Community', 'Government', 'Environmental Organization']",Medium,"['Waste Management', 'Renewable Energy']"
